"ID";"CNAE";"DESCRIPCION"
88;"1721";FABRICACION DE TEJIDOS DE ALGODON Y SUS MEZCLAS
89;"1722";FABRICACION DE TEJIDOS DE LANA CARDADA Y SUS MEZCLAS
90;"1723";FABRICACION DE TEJIDOS DE LANA PEINADA Y SUS MEZCLAS
91;"1724";FABRICACION DE TEJIDOS DE SEDA
92;"1725";FABRICACION DE OTROS TEJIDOS TEXTILES
93;"1730";ACABADO DE TEXTILES
94;"1740";FABRIC. ARTICULOS CONFECC. CON TEXTILES EXCP. PRENDAS VESTIR
95;"1750";OTRAS INDUSTRIAS TEXTILES
96;"1751";FABRICACION DE ALFOMBRAS Y MOQUETAS
97;"1752";"FABRICACION DE CUERDAS; CORDELES; BRAMANTES Y REDES"
98;"1753";"FAB. TELAS NO TEJ. Y ART. CONFEC. CON ESTAS; EX. PREND.VEST."
99;"1754";FABRICACION DE OTROS ARTICULOS TEXTILES
100;"1760";FABRICACION DE TEJIDOS DE PUNTO
101;"1770";FABRICACION DE ARTICULOS EN TEJIDOS DE PUNTO
102;"1771";FABRICACION DE CALCETERIA
103;"1772";FABRICACION DE OTROS ARTICULOS EN TEJIDOS DE PUNTO
104;"1810";CONFECCION DE PRENDAS DE CUERO
105;"1820";CONFECCION DE PRENDAS DE VESTIR EN TEXTILES Y ACCESORIOS
106;"1821";CONFECCION DE ROPA DE TRABAJO
107;"1822";CONFECCION DE OTRAS PRENDAS EXTERIORES
108;"1823";CONFECCION DE ROPA INTERIOR
109;"1824";CONFECCION DE OTRAS PRENDAS DE VESTIR Y ACCESORIOS
110;"1830";PREPARACION Y TEÑIDO DE PIELES;FABRIC. DE ARTIC.DE PELETERIA
111;"1910";"PREPARACION; CURTIDO Y ACABADO DEL CUERO                  "
112;"1920";"FABRICACION DE ARTICULOS DE MARROQUINERIA Y VIAJE; Y OTROS"
113;"1930";FABRICACION DE CALZADO                                    
114;"2010";"ASERRADO Y CEPILLADO DE MADERA; PREPARAC. INDUSTR. DE LA MADERA          "
